LCCN	LCSH	Identifier	Name
sh85081584	Marshallese language	mah	Marshallese
sh98000024	Martu Wangka language	mpj	Martu Wangka
sh96009858	Martuyhunira language	vma	Martuyhunira
sh92004815	Maru language	mhx	Maru
sh85081684	Marwari language	mwr	Marwari
sh86006115	Masa language (Chadic)	mcn	Masana
sh85081784	Masacali language	mbl	Maxakalí
sh85081788	Masai language	mas	Masai
sh85081792	Masbateno language	msb	Masbatenyo
sh91001108	Mascoi language	emo	Emok
sh85081805	Mashco language	amr	Amarakaeri
sh90004933	Masikoro language	msh	Masikoro Malagasy
sh85081915	Massachuset language	wam	Wampanoag
sh88007673	MatigSalug language	mbt	Matigsalug Manobo
sh85082198	Matlatzinca language	mat	San Francisco Matlatzinca
sh00003985	Mator language	mtm	Mator
sh85082263	Mattole language	mvb	Mattole
sh95004597	Matumbi language	mgw	Matumbi
sh86002220	Mau language	mxx	Mahou
sh85082280	Maue language	mav	Sateré-Mawé
sh85082295	Maung language	mph	Maung
sh92000636	Mawasangka language	mnb	Muna
sh98003426	Maxi language	mxl	Maxi Gbe
sh95003311	Ma&apos;ya language (Indonesia)	slz	Ma&apos;ya
sh85082432	Mayo language (Piman)	mfy	Mayo
sh85082440	Mayoruna language	mcf	Matsés
sh92004590	Mayoyao Ifugao language	ifu	Mayoyao Ifugao
sh85082465	Mbai language (Moissala)	myb	Mbay
sh85082467	Mbala language (Bandundu, Congo)	mdp	Mbala
sh96000265	Mbara language (Chad)	mpk	Mbara (Chad)
sh85082471	Mbaya language	kbc	Kadiwéu
sh85082476	Mbete language	mdt	Mbere
sh98001619	Mbili language	baw	Bambili-Bambui
sh85082477	Mbinsa language	liz	Libinza
sh85082481	Mbo language (Cameroon)	mbo	Mbo (Cameroon)
sh85082484	Mbosi language	mdw	Mbosi
sh2004010351	Mbugu language	mhd	Mbugu
sh2004010350	Mbugwe language	mgz	Mbugwe
sh85082487	Mbukushu language	mhw	Mbukushu
sh85082488	Mbum language	mdd	Mbum
sh85082489	Mbunda language (Angola and Zambia)	mck	Mbunda
sh85082492	Mbya language	gun	Mbyá Guaraní
sh93006319	Meax language	mej	Meyah
sh85082832	Median language	xme	Median
sh85083242	Medlpa language	med	Melpa
sh85083249	Medumba language	byv	Medumba
sh93006354	Mekeo language	mek	Mekeo
sh96005088	Mekongga language	lbw	Tolaki
sh85083406	Melebuganon language	pwm	Molbog
sh85083402	Mele-Fila language	mxe	Mele-Fila
sh85083464	Memba language	tsj	Tshangla
sh89005769	Mendalam Kayan language	xkd	Mendalam Kayan
sh2001005807	Mende language (Papua New Guinea)	sim	Mende (Papua New Guinea)
sh85083537	Mende language	men	Mende (Sierra Leone)
sh85083589	Menominee language	mez	Menominee
sh85083721	Mentawai language	mwv	Mentawai
sh90003765	Meratus language	bvu	Bukit Malay
sh85083868	Meroitic language	xmr	Meroitic
sh85083893	Meru language	mer	Meru
sh85083909	Mescalero language	apm	Mescalero-Chiricahua Apache
sh85083973	Messapian language	cms	Messapic
sh85084475	Mewari language	mtr	Mewari
sh85084476	Mewati language	wtm	Mewati
sh2003005172	Mexican Sign Language	mfs	Mexican Sign Language
sh98003618	Mi Gangam language	gng	Ngangam
sh85084654	Miami language (Ind. and Okla.)	mia	Miami
sh85084657	Mianmin language	mpt	Mian
sh85084691	Michif language	crg	Michif
sh85084718	Micmac language	mic	Mi&apos;kmaq
sh99013592	Midob language	mei	Midob
sh85085062	Migili language	mgi	Lijili
sh86004912	Miji language	sjl	Sajalong
sh86004582	Miju language	mxj	Miju-Mishmi
sh85085085	Mikasuki language	mik	Mikasuki
sh85085090	Mikir language	mjw	Karbi
sh85085108	Milang language	adi	Adi
sh98002463	Minaean language	inm	Minaean
sh85085475	Minangkabau language	min	Minangkabau
sh97000387	Minaveha language	mvn	Minaveha
sh85085637	Mingrelian language	xmf	Mingrelian
sh85085948	Mirandese language	mwl	Mirandese
sh85085988	Mishar language	tat	Tatar
sh85085993	Mishmi language	clk	Idu-Mishmi
sh85085996	Misima language	mpx	Misima-Paneati
sh85085997	Misima-Panayati language	mpx	Misima-Paneati
sh85087476	Miskito language	miq	Mískito
sh85086311	Mituku language	zmq	Mituku
sh98001334	Miya language	mkf	Miya
sh92005119	Miyemu language	mux	Bo-Ung
sh2003003120	Mkaa&apos; language	bqz	Bakaka
sh98003413	Mlabri language	mra	Mlabri
sh85086358	Mo language (Côte d&apos;Ivoire and Ghana)	mzw	Deg
sh85086366	Moba language	mfq	Moba
sh85086399	Mocha language	moy	Shekkacho
sh87004817	Mochó language	mhc	Mocho
sh85086485	Moghol language	mhj	Mogholi
sh85086490	Moguex language	gum	Guambiano
sh85086499	Mohave language	mov	Mohave
sh85086502	Mohawk language	moh	Mohawk
sh85086508	Mohegan language	mof	Mohegan-Montauk-Narragansett
sh87004818	Mojo language	ign	Ignaciano
sh92004816	Moken language	mwt	Moken
sh85086533	Mokilese language	mkj	Mokilese
sh2003009028	Moklen language	mkm	Moklen
sh85086534	Moklum language	nst	Tase Naga
sh85086537	Moksha language	mdf	Moksha
sh92001900	Mokulu language	moz	Mukulu
sh85086551	Moldavian language	mol	Moldavian
sh2002004828	Molima language	mox	Molima
sh85086634	Moluche language	arn	Mapudungun
sh85086666	Mon language	mnw	Mon
sh85086824	Mongolian language	mon	Mongolian
sh85086816	Mongo-Nkundu language	lol	Mongo
sh85086840	Mongour language	mjg	Tu
sh97001837	Monjombo language	moj	Monzombo
sh2004006904	Mono language (Congo)	mnh	Mono (Democratic Republic of Congo)
sh85086885	Mono-Alu language	mte	Mono (Solomon Islands)
sh85087007	Montagnais language	moe	Montagnais
sh85087085	Monumbo language	mxk	Monumbo
sh85087244	Mooré language	mos	Mossi
sh85087184	Mopan language	mop	Mopán Maya
sh90005077	Moplah language	mal	Malayalam
sh85087267	Mori language	mzq	Mori Atas
sh85087319	Moro language (South America)	ayo	Ayoreo
sh85087320	Moro language (Sudan)	mor	Moro
sh93004782	Moronene language	mqn	Moronene
sh85087406	Mortlock language	mrl	Mortlockese
sh85087413	Moru language	mgd	Moru
sh85087454	Moseten language	cas	Tsimané
sh92005365	Moshang language	nmh	Monsang Naga
sh85087501	Mota language	mtt	Mota
sh85087556	Motilon language	mot	Barí
sh2004005038	Motlav language	mlv	Motlav
sh85087704	Motu language	meu	Motu
sh97004074	Mouk language	mqt	Mok
sh85006426	Mountain Arapesh language	ape	Bukiyip
sh85087781	Mountain Koiari language	kpx	Mountain Koiali
sh85088022	Movima language	mzp	Movima
sh85088210	Mpongwe language	mye	Myene
sh95007487	Mpus language	mug	Musgu
sh85088224	Muana language	moa	Mwan
sh2003010188	Mudburra language	mwd	Mudbura
sh85088260	Muduva language	muv	Muthuvan
sh92004870	Mugil language	mlp	Bargam
sh85088289	Muinane language	bmr	Muinane
sh85088293	Mukawa language	mwc	Are
sh95003826	Mukomuko language	min	Minangkabau
sh85088299	Mukri language	ckb	Central Kurdish
sh85088303	Mulao language	mlm	Mulam
sh97006122	Mulgi language	est	Estonian
sh85088335	Mullukmulluk language	mpb	Mullukmulluk
sh85088407	Mumuye language	mzm	Mumuye
sh92006093	Mün Chin language	mwq	Mün Chin
sh87004493	Muna language	mnb	Muna
sh87007476	Mundang language	mua	Mundang
sh94001046	Mundani language	mnf	Mundani
sh85088422	Mundu language (Sudan and Congo)	muh	Mündü
sh85088425	Munduruku language	my	Mundurukú
sh94002687	Mungaka language	mhk	Mungaka
sh97008265	Munichi language	myr	Muniche
sh85088505	Munji language	mnj	Munji
sh94000219	Münkü language	irn	Irántxe
sh85088509	Munsee language	umu	Munsee
sh85088518	Muong language	mtq	Muong
sh92003277	Mupun language	sur	Mwaghavul
sh94000203	Mura language	myp	Pirahã
sh85088636	Murle language	mur	Murle
sh85088633	Murrinhpatha language	mwf	Murrinh-Patha
sh85088651	Murui language	huu	Murui Huitoto
sh94005357	Muruwari language	zmu	Muruwari
sh85088703	Musei language	mse	Musey
sh85088742	Musgu language	mug	Musgu
