# LCSH data (09-09-2009)		
# Identifier	NameType	NameString
ats	sn	Atsina
ats	sn	Atsina language
atw	sn	Atsugewi
atw	sn	Atsugewi language
att	sn	Atta
att	sn	Atta language
grc	sn	Attic Greek
grc	sn	Attic Greek dialect
ati	sn	Attie
ati	sn	ttie language
avt	sn	Au
avt	sn	Au language
aul	sn	Aulua
aul	sn	Aulua language
aus	sn	Australian languages
asf	sn	Australian Sign
asf	sn	Australian Sign Language
aav	sn	Austroasiatic languages
map	sn	Austronesian languages
kze	sn	Auyana
kze	sn	Auyana language
pka	sn	Avahattha
pka	sn	Avahattha language
ava	sn	Avaric
ava	sn	Avaric language
tmb	sn	Avava
tmb	sn	Avava language
ave	sn	Avestan
ave	sn	Avestan language
avi	sn	Avikam
avi	sn	Avikam language
awb	sn	Awa
awb	sn	"Awa (Eastern Highlands Province, Papua New Guinea)"
awb	sn	"Awa language (Eastern Highlands Province, Papua New Guinea)"
awk	sn	Awabakal
awk	sn	Awabakal language
awa	sn	Awadhi
awa	sn	Awadhi dialect
agu	sn	Awakateko
agu	sn	Awakateko language
afu	sn	Awutu
afu	sn	Awutu language
ifb	sn	Ayangan Ifugao
ifb	sn	Ayangan Ifugao dialect
nfl	sn	Ayiwo
nfl	sn	Ayiwo language
ayb	sn	Ayizo-gbe
ayb	sn	Ayizo-gbe language
aym	sn	Aymara
aym	sn	Aymara language
sgb	sn	Ayta Anchi Sambal
sgb	sn	Ayta Anchi Sambal dialect
blx	sn	Ayta Mag Indi
blx	sn	Ayta Mag Indi dialect
aze	sn	Azerbaijani
aze	sn	Azerbaijani language
mbf	sn	Baba Malay
mbf	sn	Baba Malay language
bcr	sn	Babine
bcr	sn	Babine language
ast	sn	Bable
ast	sn	Bable dialect
bav	sn	Babungo
bav	sn	Babungo language
bcy	sn	Bacama
bcy	sn	Bacama language
xbc	sn	Bactrian
xbc	sn	Bactrian language
bhz	sn	Bada
bhz	sn	Bada (Indonesia)
bhz	sn	Bada language (Indonesia)
bfq	sn	Badaga
bfq	sn	Badaga dialect
drw	sn	Badakhshani
drw	sn	Badakhshani dialect
hin	sn	Badayuni
hin	sn	Badayuni dialect
bde	sn	Bade
bde	sn	Bade language
pbp	sn	Badyara
pbp	sn	Badyara language
ksf	sn	Bafia
ksf	sn	Bafia language
bfd	sn	Bafut
bfd	sn	Bafut language
bfy	sn	Bagheli
bfy	sn	Bagheli language
bmi	sn	Bagirmi
bmi	sn	Bagirmi language
obo	sn	Bagobo
obo	sn	Bagobo language
bgq	sn	Bagri
bgq	sn	Bagri dialect
kva	sn	Bagulal
kva	sn	Bagulal language
gyi	sn	Bagyele
gyi	sn	Bagyele language
bdw	sn	Baham
bdw	sn	Baham language
bjh	sn	Bahinemo
bjh	sn	Bahinemo language
bhj	sn	Bahing
bhj	sn	Bahing dialect
bdq	sn	Bahnar
bdq	sn	Bahnar language
bca	sn	Bai
bca	sn	Bai (China)
bca	sn	Bai language (China)
bqh	sn	Baima
bqh	sn	Baima language
byx	sn	Baining
byx	sn	Baining language
bsw	sn	Baiso
bsw	sn	Baiso language
nep	sn	Baitadi
nep	sn	Baitadi dialect
bdl	sn	Bajau
bdl	sn	Bajau language
bhj	sn	Bajjika
bhj	sn	Bajjika language
bdh	sn	Baka
bdh	sn	Baka (Sudan)
bkc	sn	Baka (Cameroon and Gabon)
bdh	sn	Baka language
bkc	sn	Baka language (Cameroon and Gabon)
bkq	sn	Bakairi
bkq	sn	Bakairi language
bqi	sn	Bakhtiari
bqi	sn	Bakhtiari language
bki	sn	Baki
bki	sn	Baki language
bss	sn	Bakossi
bss	sn	Bakossi dialect
bkr	sn	Bakumpai
bkr	sn	Bakumpai dialect
bdu	sn	Bakundu
bdu	sn	Bakundu dialect
bdu	sn	Bakundu-Balue
bdu	sn	Bakundu-Balue language
bjw	sn	Bakwe?
bjw	sn	Bakwe? language
bls	sn	Balaesang
bls	sn	Balaesang language
blw	sn	Balangao
blw	sn	Balangao language
sse	sn	Balangingi?
sse	sn	Balangingi? dialect
blz	sn	Balantak
blz	sn	Balantak language
ble	sn	Balante
ble	sn	Balante language
ban	sn	Balinese
ban	sn	Balinese language
bwt	sn	Balong
bwt	sn	Balong language
bft	sn	Balti
bft	sn	Balti language
bat	sn	Baltic languages
bal	sn	Baluchi
bal	sn	Baluchi language
bam	sn	Bambara
bam	sn	Bambara language
baa	sn	Bambatana
baa	sn	Bambatana language
bai	sn	Bamileke languages
bcf	sn	Bamu River
bcf	sn	Bamu River language
bax	sn	Bamun
bax	sn	Bamun language
liy	sn	Banda (Central Africa)
bnd	sn	Banda (Indonesia)
liy	sn	Banda language (Central Africa)
bnd	sn	Banda language (Indonesia)
bdy	sn	Bandjalang
bdy	sn	Bandjalang language
bbj	sn	Bandjoun
bbj	sn	Bandjoun language
bgc	sn	Bangaru
bgc	sn	Bangaru dialect
bgz	sn	Banggai
bgz	sn	Banggai language
bgj	sn	Bangolan
