Archive_ID	RepositoryName
169	Humboldt University of Berlin, GERMANY, Document Server
630	I-Revues INIST-CNRS
379	IAPS : Digital Library :\n 
472	IBSS Repository
708	ICM - DIR - Zasoby Polskie
685	iDEA: Drexel E-repository and Archives
677	IDEALS @ Illinois
513	IGES
245	iLisSurf Open Archive Initiative Repository
217	IMDI to OAI bridge
575	IMISCOE publications
588	Indiana Historical Society
50	Indiana University Digital Library Program OAI Data Provider
443	INDIGO
299	InfoLib OAI-PMH Repository EDITVer4.0
77	Infoscience
386	Iniciacom - Revista Brasileira de Iniciação Cientí­fica em Comunicação
555	Inovcom - Revista Brasileira de Inovação Cientí­fica em Comunicação
651	INP Toulouse Theses
442	INSA de Lyon - DOC'INSA - CITHER
363	INSERM - ©HAL
283	Institut d'Etudes Politiques de Lyon (France)
665	Institutional Repository of the Belgian Nuclear Research Centre (SCK-CEN)
634	Institutional Repository of University of Macedonia Library
12	Intercom - Revista Brasileira de Ciências da Comunicação
429	International Development Research Centre (IDRC)
141	International Federation for Information Processing Digital Library
149	Internet Archive OAI Repository
128	Intute catalogue
268	Invenia Repository for Technological Innovation
160	Iowa Research Online
320	IPU Repository
181	IPv6 Eprints Server
515	IRis
188	IURIS Digital. Biblioteca Virtual de la Real Academia de Jurisprudencia y Legislación
652	IUScholarWorks Repository: DSpace at Indiana University
489	Iwate University Repository
596	JAIST Repository
116	JeanNicod - ©HAL
292	Jefferson Digital Commons
121	JeLit  Electronic Journal of eLiteracy
140	JISC Information Environment Service Registry (IESR)
84	Journal  of Technology Management & Innovation
391	JScholarship at JHU Sheridan Libraries
566	JUWEL - Volltextserver des Forschungszentrums Juelich
399	K-State Research Exchange
577	K.U.Leuven Doctoral Theses
609	Kagoshima University Repository
400	KAIST Open Access Self-Archiving System
691	Kakanien Revisited Articles and Reviews
717	Katja - Kumpulan kampuksen avoin julkaisuarkisto
67	KCL eprints
516	KCResearch - Kansas City Public Library
106	Khagol
88	KHK Theses
696	Klamath Waters
93	KMODDL OAI Repository, Kroch Library, Cornell University
587	koara
617	koara-a
582	KOBRA - DSpace an der UniversitÃ¤t Kassel
488	Kochi University of Technology Academic Resource Repository
418	Kochi University Repository
441	Korea Science & Technology Information Archives (stOAI)
422	KU ScholarWorks 
529	Kumamoto University Repositry System
556	KURA 
608	Kyoto University Research Information Repository
461	Kyushu Institute of Technology of Academic Repository(Kyutacar)
655	Kyushu University Institutional Repository(QIR)
653	Leicester Research Archive
59	Leodis - A photographic archive of Leeds
393	Librarians Digital Library
543	Library for digital documents at the university of Oslo
103	Library of Congress Open Archive Initiative Repository 1
105	Library of ΤΕΙ of Western Macedonia
687	Lincoln University Research Archive
377	List of Texts
385	Living Reviews in European Governance
11	Living Reviews in Relativity
482	Living Reviews in Solar Physics
632	Lund University Theses and Dissertations
453	Lund University Theses and Dissertations
355	LUP
395	LU|ZONE|UL
288	M.U.S. e-prints 
242	Market Economy Institute of RAS|Институт проблем рынка РАН
504	Mason Archive Repository Service
526	Max Planck Society eDoc Server
173	Max Planck Society eDoc Server
272	Małopolska Digital Library
194	McGill University's Institutional Repository, eScholarship@McGill
83	Mecánica Computacional
600	Media & Jornalismo
561	mediaTUM - The Technische Universität München Media Repository
130	Medknow Publicatiions
645	Meiji Repository
110	MeIND
373	Mémoires et thèses de l'Université Laval
481	Memoria Digital de Catalunya (MDC)
716	Memorial University Newfoundland Digital Archive
196	METADATUM: Repositorio de Universidades Venezolanas
549	Middle East Technical University Library E-Thesis OAI Data Provider
287	MIMS EPrints
444	MINDS@UW
586	MIUSE: Mie University Scholarly E-collections
285	MONARCH - Dokumenten- und Publikationsservice
345	MSSTATE Electronic Thesis and Disseration
