Pacific	Australia	aly	Australian	1450
Africa	Democratic Republic of the Congo	alz	Nilo-Saharan	1367000
Africa	Nigeria	amb	Niger-Congo	1000
Americas	Peru	amc	Panoan	330
Americas	Peru	ame	Arawakan	9830
Africa	Ethiopia	amf	Afro-Asiatic	42800
Pacific	Australia	amg	Australian	5
Africa	Ethiopia	amh	Afro-Asiatic	17528500
Asia	Taiwan	ami	Austronesian	138000
Africa	Chad	amj	Nilo-Saharan	41100
Asia	Indonesia	amk	Austronesian	10100
Asia	Bangladesh	aml	Austro-Asiatic	28000
Pacific	Papua New Guinea	amm	Arai-Kwomtari	480
Pacific	Papua New Guinea	amn	Border	4420
Africa	Nigeria	amo	Niger-Congo	12300
Pacific	Papua New Guinea	amp	Sepik	1530
Asia	Indonesia	amq	Austronesian	50
Americas	Peru	amr	Harakmbet	500
Asia	Japan	ams	Japonic	1800
Pacific	Papua New Guinea	amt	Amto-Musan	300
Americas	Mexico	amu	Oto-Manguean	23000
Asia	Indonesia	amv	Austronesian	5700
Asia	Syria	amw	Afro-Asiatic	15000
Pacific	Australia	amx	Australian	1220
Pacific	Australia	amy	Australian	30
Africa	Nigeria	anc	Afro-Asiatic	400000
Asia	Indonesia	and	Austronesian	4600
Pacific	New Caledonia	ane	Austronesian	3780
Africa	Ghana	anf	Niger-Congo	700
Pacific	Papua New Guinea	anh	Trans-New Guinea	2000
Europe	Russian Federation	ani	North Caucasian	21800
Pacific	Papua New Guinea	anj	Ramu-Lower Sepik	980
Africa	Nigeria	ank	Afro-Asiatic	200000
Asia	Myanmar	anl	Sino-Tibetan	1250
Asia	India	anm	Sino-Tibetan	13900
Africa	Nigeria	ann	Niger-Congo	200000
Americas	Colombia	ano	Language isolate	370
Asia	India	anp	Indo-European	740900
Asia	India	anq	Andamanese	250
Asia	India	anr	Indo-European	100000
Pacific	Australia	ant	Australian	50
Africa	Sudan	anu	Nilo-Saharan	97600
Africa	Cameroon	anv	Niger-Congo	11200
Africa	Nigeria	anw	Niger-Congo	1400000
Pacific	Papua New Guinea	anx	Austronesian	1310
Africa	Cote dIvoire	any	Niger-Congo	860000
Pacific	Papua New Guinea	anz	Yele-West New Britain	550
Africa	Sao Tome e Principe	aoa	Creole	5000
Pacific	Papua New Guinea	aob	Trans-New Guinea	15
Americas	Venezuela	aoc	Carib	6160
Pacific	Papua New Guinea	aod	Ramu-Lower Sepik	1080
Pacific	Papua New Guinea	aoe	Trans-New Guinea	22000
Pacific	Papua New Guinea	aof	Torricelli	460
Pacific	Papua New Guinea	aog	Ramu-Lower Sepik	8220
Pacific	Australia	aoi	Australian	1240
Pacific	Papua New Guinea	aoj	Torricelli	11000
Pacific	New Caledonia	aok	Austronesian	62
Asia	Indonesia	aol	Austronesian	25000
Pacific	Papua New Guinea	aom	Trans-New Guinea	800
Pacific	Papua New Guinea	aon	Torricelli	4340
Asia	Indonesia	aos	Border	500
Asia	India	aot	Sino-Tibetan	10000
Americas	Guyana	aox	Arawakan	
Asia	Indonesia	aoz	Austronesian	586000
Pacific	Solomon Islands	apb	Austronesian	11500
Asia	Syria	apc	Afro-Asiatic	14426540
Africa	Sudan	apd	Afro-Asiatic	16833000
Pacific	Papua New Guinea	ape	Torricelli	16200
Asia	Indonesia	apg	Austronesian	30000
Asia	Nepal	aph	Sino-Tibetan	2000
Americas	Brazil	api	Tupi	190
Americas	United States	apj	Na-Dene	680
Americas	United States	apk	Na-Dene	18
Americas	United States	apl	Na-Dene	2
Americas	United States	apm	Na-Dene	1800
Americas	Brazil	apn	Macro-Ge	1260
Pacific	Papua New Guinea	apo	Austronesian	370
Pacific	Vanuatu	app	Austronesian	7800
Asia	India	apq	Andamanese	10
Pacific	Papua New Guinea	apr	Austronesian	3020
Pacific	Papua New Guinea	aps	Austronesian	1150
Asia	India	apt	Sino-Tibetan	24000
Americas	Brazil	apu	Arawakan	
Americas	United States	apw	Na-Dene	12700
Asia	Indonesia	apx	Austronesian	150
Americas	Brazil	apy	Carib	450
Pacific	Papua New Guinea	apz	Trans-New Guinea	2390
Europe	Russian Federation	aqc	North Caucasian	1200
Africa	Nigeria	aqg	Niger-Congo	48000
Asia	Indonesia	aqm	Trans-New Guinea	1000
Asia	Philippines	aqn	Austronesian	200
Pacific	New Caledonia	aqr	Austronesian	35
Asia	Saudi Arabia	arb	Afro-Asiatic	
Pacific	Australia	are	Australian	1000
Europe	Spain	arg	Indo-European	11000
Americas	Colombia	arh	Chibchan	14800
Americas	United States	ari	Caddoan	20
Americas	Brazil	ark	Macro-Ge	6
Americas	Peru	arl	Zaparoan	50
Americas	Chile	arn	Araucanian	300039
Americas	Bolivia	aro	Tacanan	81
Americas	United States	arp	Algic	1040
Africa	Algeria	arq	Afro-Asiatic	22397000
Americas	Brazil	arr	Tupi	170
Asia	Saudi Arabia	ars	Afro-Asiatic	9977000
Africa	Ethiopia	arv	Afro-Asiatic	4440
Americas	Suriname	arw	Arawakan	2450
Americas	Brazil	arx	Tupi	12
Africa	Morocco	ary	Afro-Asiatic	21048900
Africa	Egypt	arz	Afro-Asiatic	53990000
Africa	Tanzania	asa	Niger-Congo	500000
Americas	Canada	asb	Siouan	250
Asia	Indonesia	asc	Trans-New Guinea	9000
Pacific	Papua New Guinea	asd	Trans-New Guinea	330
Americas	United States	ase	Deaf sign language	
Pacific	Australia	asf	Deaf sign language	
Africa	Nigeria	asg	Niger-Congo	100000
Asia	Indonesia	asi	Trans-New Guinea	1000
Africa	Cameroon	asj	Niger-Congo	7000
Asia	Afghanistan	ask	Indo-European	1200
Asia	Indonesia	asl	Austronesian	8760
Asia	India	asm	Indo-European	16818750
Americas	Brazil	asn	Tupi	110
Pacific	Papua New Guinea	aso	Trans-New Guinea	30000
Africa	Algeria	asp	Deaf sign language	
Europe	Austria	asq	Deaf sign language	
Asia	India	asr	Austro-Asiatic	16600
Africa	Cameroon	ass	Niger-Congo	2500
Europe	Spain	ast	Indo-European	125000
Americas	Brazil	asu	Tupi	300
Africa	Democratic Republic of the Congo	asv	Nilo-Saharan	25500
Pacific	Papua New Guinea	asx	Trans-New Guinea	810
Asia	Indonesia	asy	Trans-New Guinea	2000
Asia	Indonesia	asz	Austronesian	230
Pacific	Papua New Guinea	ata	Yele-West New Britain	2000
Asia	China	atb	Sino-Tibetan	110000
Asia	Philippines	atd	Austronesian	26700
Pacific	Papua New Guinea	ate	Trans-New Guinea	60
Africa	Nigeria	atg	Niger-Congo	20000
Africa	Cote dIvoire	ati	Niger-Congo	381000
Americas	Canada	atj	Algic	5000
Asia	Philippines	atk	Austronesian	1500
Asia	Philippines	atl	Austronesian	150
Asia	Philippines	atm	Austronesian	4
Asia	Iran	atn	Indo-European	21100
Africa	Cameroon	ato	Niger-Congo	4200
Asia	Philippines	atp	Austronesian	710
Asia	Indonesia	atq	Austronesian	12000
Americas	Brazil	atr	Carib	930
Americas	United States	ats	Algic	10
Asia	Philippines	att	Austronesian	1000
Africa	Sudan	atu	Nilo-Saharan	50000
Asia	Russian Federation	atv	Altaic	1570
Americas	United States	atw	Hokan	3
Americas	Brazil	atx	Arutani-Sape	42
Pacific	Vanuatu	aty	Austronesian	900
Asia	Philippines	atz	Austronesian	15
Pacific	Solomon Islands	aua	Austronesian	10
Asia	China	aub	Sino-Tibetan	3500
Americas	Ecuador	auc	Language isolate	1650
Pacific	Solomon Islands	aud	Austronesian	270
Africa	Namibia	aue	Khoisan	7000
Africa	Benin	aug	Niger-Congo	3470
Africa	Zambia	auh	Niger-Congo	95200
Pacific	Papua New Guinea	aui	Austronesian	890
Africa	Libya	auj	Afro-Asiatic	3000
Pacific	Papua New Guinea	auk	Torricelli	2710
Pacific	Vanuatu	aul	Austronesian	750
Africa	Nigeria	aum	Niger-Congo	5000
Pacific	Papua New Guinea	aun	Torricelli	500
Pacific	Papua New Guinea	aup	Trans-New Guinea	1300
Asia	Indonesia	auq	Austronesian	320
Pacific	Papua New Guinea	aur	Torricelli	740
Pacific	French Polynesia	aut	Austronesian	8000
