Language	Level	Type	Code	Name
aaa	1	G	nic	Niger-Kordofanian
aaa	2	G	alv	Atlantic-Congo
aaa	3	I	aaa	Ghotuo
aab	1	G	nic	Niger-Kordofanian
aab	2	G	alv	Atlantic-Congo
aab	3	I	aab	Alumu-Tesu
aac	1	G	paa	Papuan
aac	2	G	ngf	Trans-New Guinea
aac	3	I	aac	Ari
aad	1	G	paa	Papuan
aad	2	I	aad	Amal
aae	1	G	ine	Indo-European
aae	2	G	sqj	Albanian
aae	3	M	sqi	Albanian
aae	4	I	aae	Arbëreshë Albanian
aaf	1	G	dra	Dravidian
aaf	2	I	aaf	Aranadan
aag	1	G	paa	Papuan
aag	2	I	aag	Ambrak
aah	1	G	paa	Papuan
aah	2	I	aah	Abu' Arapesh
aai	1	G	map	Austronesian
aai	2	G	poz	Malayo-Polynesian
aai	3	G	pqe	Eastern Malayo-Polynesian
aai	4	I	aai	Arifama-Miniafia
aak	1	G	paa	Papuan
aak	2	G	ngf	Trans-New Guinea
aak	3	I	aak	Ankave
aal	1	G	afa	Afro-Asiatic
aal	2	I	aal	Afade
aam	1	G	ssa	Nilo-Saharan
aam	2	I	aam	Aramanik
aan	1	G	sai	South American Indian
aan	2	I	aan	Anambé
aao	1	G	afa	Afro-Asiatic
aao	2	G	sem	Semitic
aao	3	M	ara	Arabic
aao	4	I	aao	Algerian Saharan Arabic
aap	1	G	sai	South American Indian
aap	2	I	aap	Pará Arára
aaq	1	G	nai	North American Indian
aaq	2	G	aql	Algic
aaq	3	G	alg	Algonquian
aaq	4	I	aaq	Eastern Abnaki
aar	1	G	afa	Afro-Asiatic
aar	2	G	cus	Cushitic
aar	3	I	aar	Afar
aas	1	G	afa	Afro-Asiatic
aas	2	G	cus	Cushitic
aas	3	I	aas	Aasáx
aat	1	G	ine	Indo-European
aat	2	G	sqj	Albanian
aat	3	M	sqi	Albanian
aat	4	I	aat	Arvanitika Albanian
aau	1	G	paa	Papuan
aau	2	I	aau	Abau
aaw	1	G	map	Austronesian
aaw	2	G	poz	Malayo-Polynesian
aaw	3	G	pqe	Eastern Malayo-Polynesian
aaw	4	I	aaw	Solong
aax	1	G	paa	Papuan
aax	2	G	ngf	Trans-New Guinea
aax	3	I	aax	Mandobo Atas
aaz	1	G	map	Austronesian
aaz	2	G	poz	Malayo-Polynesian
aaz	3	G	plf	Central Malayo-Polynesian
aaz	4	I	aaz	Amarasi
aba	1	G	nic	Niger-Kordofanian
aba	2	G	alv	Atlantic-Congo
aba	3	I	aba	Abé
abb	1	G	nic	Niger-Kordofanian
abb	2	G	alv	Atlantic-Congo
abb	3	G	bnt	Bantu
abb	4	I	abb	Bankon
abc	1	G	map	Austronesian
abc	2	G	poz	Malayo-Polynesian
abc	3	G	pqw	Western Malayo-Polynesian
abc	4	G	phi	Philippine
abc	5	I	abc	Ambala Ayta
abd	1	G	map	Austronesian
abd	2	G	poz	Malayo-Polynesian
abd	3	G	pqw	Western Malayo-Polynesian
abd	4	G	phi	Philippine
abd	5	I	abd	Manide
abe	1	G	nai	North American Indian
abe	2	G	aql	Algic
abe	3	G	alg	Algonquian
abe	4	I	abe	Western Abnaki
abf	1	G	map	Austronesian
abf	2	I	abf	Abai Sungai
abg	1	G	paa	Papuan
abg	2	G	ngf	Trans-New Guinea
abg	3	I	abg	Abaga
abh	1	G	afa	Afro-Asiatic
abh	2	G	sem	Semitic
abh	3	M	ara	Arabic
abh	4	I	abh	Tajiki Arabic
abi	1	G	nic	Niger-Kordofanian
abi	2	G	alv	Atlantic-Congo
abi	3	I	abi	Abidji
abk	1	G	cau	Caucasian
abk	2	G	ccn	North Caucasian
abk	3	I	abk	Abkhazian
abl	1	G	map	Austronesian
abl	2	I	abl	Lampung Nyo
abm	1	G	nic	Niger-Kordofanian
abm	2	G	alv	Atlantic-Congo
abm	3	G	bnt	Bantu
abm	4	I	abm	Abanyom
abn	1	G	nic	Niger-Kordofanian
abn	2	G	alv	Atlantic-Congo
abn	3	I	abn	Abua
abo	1	G	nic	Niger-Kordofanian
abo	2	G	alv	Atlantic-Congo
abo	3	G	bnt	Bantu
abo	4	I	abo	Abon
abp	1	G	map	Austronesian
abp	2	G	poz	Malayo-Polynesian
abp	3	G	pqw	Western Malayo-Polynesian
abp	4	G	phi	Philippine
abp	5	I	abp	Abellen Ayta
abq	1	G	cau	Caucasian
abq	2	I	abq	Abaza
abr	1	G	nic	Niger-Kordofanian
abr	2	G	alv	Atlantic-Congo
abr	3	I	abr	Abron
abs	1	G	crp	Creoles and pidgins
abs	2	I	abs	Ambonese Malay
abt	1	G	paa	Papuan
abt	2	I	abt	Ambulas
abu	1	G	nic	Niger-Kordofanian
abu	2	G	alv	Atlantic-Congo
abu	3	I	abu	Abure
abv	1	G	afa	Afro-Asiatic
abv	2	G	sem	Semitic
abv	3	M	ara	Arabic
abv	4	I	abv	Baharna Arabic
abw	1	G	paa	Papuan
abw	2	G	ngf	Trans-New Guinea
abw	3	I	abw	Pal
abx	1	G	map	Austronesian
abx	2	G	poz	Malayo-Polynesian
abx	3	G	pqw	Western Malayo-Polynesian
abx	4	G	phi	Philippine
abx	5	I	abx	Inabaknon
aby	1	G	paa	Papuan
aby	2	G	ngf	Trans-New Guinea
aby	3	I	aby	Aneme Wake
abz	1	G	paa	Papuan
abz	2	G	ngf	Trans-New Guinea
abz	3	I	abz	Abui
aca	1	G	sai	South American Indian
aca	2	I	aca	Achagua
acb	1	G	nic	Niger-Kordofanian
acb	2	G	alv	Atlantic-Congo
acb	3	G	bnt	Bantu
acb	4	I	acb	Áncá
acc	1	G	cai	Central American Indian
acc	2	G	myn	Mayan
acc	3	I	acc	Cubulco Achí
acd	1	G	nic	Niger-Kordofanian
acd	2	G	alv	Atlantic-Congo
acd	3	I	acd	Gikyode
ace	1	G	map	Austronesian
ace	2	G	poz	Malayo-Polynesian
ace	3	G	pqw	Western Malayo-Polynesian
ace	4	G	cmc	Chamic
ace	5	I	ace	Achinese
acf	1	G	crp	Creoles and pidgins
acf	2	G	cpf	Creoles and pidgins, Frenchâ€‘based
acf	3	I	acf	Saint Lucian Creole French
ach	1	G	ssa	Nilo-Saharan
ach	2	G	sdv	Eastern Sudanic
ach	3	I	ach	Acoli
acm	1	G	afa	Afro-Asiatic
acm	2	G	sem	Semitic
acm	3	M	ara	Arabic
acm	4	I	acm	Mesopotamian Arabic
acn	1	G	sit	Sino-Tibetan
acn	2	G	tbq	Tibeto-Burman
acn	3	I	acn	Achang
acp	1	G	nic	Niger-Kordofanian
acp	2	G	alv	Atlantic-Congo
acp	3	I	acp	Eastern Acipa
acq	1	G	afa	Afro-Asiatic
acq	2	G	sem	Semitic
acq	3	M	ara	Arabic
acq	4	I	acq	Ta'izzi-Adeni Arabic
acr	1	G	cai	Central American Indian
acr	2	G	myn	Mayan
acr	3	I	acr	Achi
acs	1	G	sai	South American Indian
acs	2	I	acs	Acroá
act	1	G	ine	Indo-European
act	2	G	gem	Germanic
act	3	I	act	Achterhoeks
acu	1	G	sai	South American Indian
acu	2	I	acu	Achuar-Shiwiar
acv	1	G	nai	North American Indian
acv	2	I	acv	Achumawi
acw	1	G	afa	Afro-Asiatic
acw	2	G	sem	Semitic
acw	3	M	ara	Arabic
acw	4	I	acw	Hijazi Arabic
acx	1	G	afa	Afro-Asiatic
acx	2	G	sem	Semitic
acx	3	M	ara	Arabic
acx	4	I	acx	Omani Arabic
acy	1	G	afa	Afro-Asiatic
acy	2	G	sem	Semitic
acy	3	M	ara	Arabic
acy	4	I	acy	Cypriot Arabic
acz	1	G	nic	Niger-Kordofanian
acz	2	I	acz	Acheron
ada	1	G	nic	Niger-Kordofanian
ada	2	G	alv	Atlantic-Congo
ada	3	I	ada	Adangme
adb	1	G	paa	Papuan
adb	2	G	ngf	Trans-New Guinea
adb	3	I	adb	Adabe
add	1	G	nic	Niger-Kordofanian
add	2	G	alv	Atlantic-Congo
add	3	G	bnt	Bantu
add	4	I	add	Dzodinka
ade	1	G	nic	Niger-Kordofanian
ade	2	G	alv	Atlantic-Congo
ade	3	I	ade	Adele
adf	1	G	afa	Afro-Asiatic
adf	2	G	sem	Semitic
adf	3	M	ara	Arabic
adf	4	I	adf	Dhofari Arabic
adg	1	G	aus	Australian
adg	2	I	adg	Andegerebinha
adh	1	G	ssa	Nilo-Saharan
adh	2	I	adh	Adhola
adi	1	G	sit	Sino-Tibetan
adi	2	G	tbq	Tibeto-Burman
adi	3	I	adi	Adi
adj	1	G	nic	Niger-Kordofanian
adj	2	G	alv	Atlantic-Congo
adj	3	I	adj	Adioukrou
adl	1	G	sit	Sino-Tibetan
adl	2	G	tbq	Tibeto-Burman
adl	3	I	adl	Galo
adn	1	G	paa	Papuan
adn	2	G	ngf	Trans-New Guinea
adn	3	I	adn	Adang
ado	1	G	paa	Papuan
ado	2	I	ado	Abu
adp	1	G	sit	Sino-Tibetan
adp	2	G	tbq	Tibeto-Burman
adp	3	I	adp	Adap
adq	1	G	nic	Niger-Kordofanian
adq	2	G	alv	Atlantic-Congo
adq	3	I	adq	Adangbe
adr	1	G	map	Austronesian
adr	2	G	poz	Malayo-Polynesian
adr	3	G	plf	Central Malayo-Polynesian
adr	4	I	adr	Adonara
ads	1	G	sgn	sign languages
ads	2	I	ads	Adamorobe Sign Language
adt	1	G	aus	Australian
adt	2	I	adt	Adnyamathanha
adu	1	G	nic	Niger-Kordofanian
adu	2	G	alv	Atlantic-Congo
adu	3	I	adu	Aduge
adw	1	G	sai	South American Indian
adw	2	I	adw	Amundava
adx	1	G	sit	Sino-Tibetan
adx	2	G	tbq	Tibeto-Burman
adx	3	I	adx	Amdo Tibetan
ady	1	G	cau	Caucasian
ady	2	I	ady	Adyghe
adz	1	G	map	Austronesian
adz	2	G	poz	Malayo-Polynesian
adz	3	G	pqe	Eastern Malayo-Polynesian
adz	4	I	adz	Adzera
aea	1	G	aus	Australian
aea	2	I	aea	Areba
aeb	1	G	afa	Afro-Asiatic
aeb	2	G	sem	Semitic
aeb	3	M	ara	Arabic
aeb	4	I	aeb	Tunisian Arabic
aec	1	G	afa	Afro-Asiatic
aec	2	G	sem	Semitic
aec	3	M	ara	Arabic
aec	4	I	aec	Saidi Arabic
aed	1	G	sgn	sign languages
aed	2	I	aed	Argentine Sign Language
aee	1	G	ine	Indo-European
aee	2	G	iir	Indo-Iranian
aee	3	G	inc	Indic
aee	4	I	aee	Northeast Pashayi
aek	1	G	map	Austronesian
aek	2	G	poz	Malayo-Polynesian
aek	3	G	pqe	Eastern Malayo-Polynesian
aek	4	I	aek	Haeke
ael	1	G	nic	Niger-Kordofanian
ael	2	G	alv	Atlantic-Congo
ael	3	G	bnt	Bantu
ael	4	I	ael	Ambele
aem	1	G	aav	Austro-Asiatic
aem	2	G	mkh	Mon-Khmer
aem	3	I	aem	Arem
aen	1	G	sgn	sign languages
aen	2	I	aen	Armenian Sign Language
aeq	1	G	ine	Indo-European
aeq	2	G	iir	Indo-Iranian
aeq	3	G	inc	Indic
aeq	4	I	aeq	Aer
aer	1	G	aus	Australian
aer	2	I	aer	Eastern Arrernte
aes	1	G	nai	North American Indian
aes	2	I	aes	Alsea
aeu	1	G	sit	Sino-Tibetan
aeu	2	G	tbq	Tibeto-Burman
aeu	3	I	aeu	Akeu
aew	1	G	paa	Papuan
aew	2	I	aew	Ambakich
aey	1	G	paa	Papuan
aey	2	G	ngf	Trans-New Guinea
aey	3	I	aey	Amele
aez	1	G	paa	Papuan
aez	2	G	ngf	Trans-New Guinea
aez	3	I	aez	Aeka
afb	1	G	afa	Afro-Asiatic
afb	2	G	sem	Semitic
afb	3	M	ara	Arabic
afb	4	I	afb	Gulf Arabic
afd	1	G	paa	Papuan
afd	2	I	afd	Andai
afe	1	G	nic	Niger-Kordofanian
afe	2	G	alv	Atlantic-Congo
afe	3	I	afe	Putukwam
afg	1	G	sgn	sign languages
afg	2	I	afg	Afghan Sign Language
afi	1	G	paa	Papuan
afi	2	I	afi	Akrukay
afk	1	G	paa	Papuan
afk	2	I	afk	Nanubae
afn	1	G	nic	Niger-Kordofanian
afn	2	G	alv	Atlantic-Congo
afn	3	I	afn	Defaka
afo	1	G	nic	Niger-Kordofanian
afo	2	G	alv	Atlantic-Congo
afo	3	I	afo	Eloyi
afp	1	G	paa	Papuan
afp	2	I	afp	Tapei
afr	1	G	ine	Indo-European
afr	2	G	gem	Germanic
afr	3	G	gmw	West Germanic
afr	4	I	afr	Afrikaans
afs	1	G	crp	Creoles and pidgins
afs	2	G	cpe	Creoles and pidgins, Englishâ€‘based
afs	3	I	afs	Afro-Seminole Creole
aft	1	G	ssa	Nilo-Saharan
aft	2	I	aft	Afitti
afu	1	G	nic	Niger-Kordofanian
afu	2	G	alv	Atlantic-Congo
afu	3	I	afu	Awutu
afz	1	G	paa	Papuan
afz	2	I	afz	Obokuitai
agb	1	G	nic	Niger-Kordofanian
agb	2	G	alv	Atlantic-Congo
agb	3	I	agb	Legbo
agc	1	G	nic	Niger-Kordofanian
agc	2	G	alv	Atlantic-Congo
agc	3	I	agc	Agatu
agd	1	G	paa	Papuan
agd	2	G	ngf	Trans-New Guinea
agd	3	I	agd	Agarabi
age	1	G	paa	Papuan
age	2	G	ngf	Trans-New Guinea
age	3	I	age	Angal
agf	1	G	map	Austronesian
agf	2	G	poz	Malayo-Polynesian
agf	3	G	plf	Central Malayo-Polynesian
agf	4	I	agf	Arguni
agg	1	G	paa	Papuan
agg	2	G	ngf	Trans-New Guinea
agg	3	I	agg	Angor
agh	1	G	nic	Niger-Kordofanian
agh	2	G	alv	Atlantic-Congo
agh	3	G	bnt	Bantu
agh	4	I	agh	Ngelima
agi	1	G	aav	Austro-Asiatic
agi	2	G	mun	Munda
agi	3	I	agi	Agariya
agj	1	G	afa	Afro-Asiatic
agj	2	G	sem	Semitic
agj	3	I	agj	Argobba
agk	1	G	map	Austronesian
agk	2	G	poz	Malayo-Polynesian
agk	3	G	pqw	Western Malayo-Polynesian
agk	4	G	phi	Philippine
agk	5	I	agk	Isarog Agta
agl	1	G	paa	Papuan
agl	2	G	ngf	Trans-New Guinea
agl	3	I	agl	Fembe
agm	1	G	paa	Papuan
agm	2	G	ngf	Trans-New Guinea
agm	3	I	agm	Angaataha
agn	1	G	map	Austronesian
agn	2	G	poz	Malayo-Polynesian
agn	3	G	pqw	Western Malayo-Polynesian
agn	4	G	phi	Philippine
agn	5	I	agn	Agutaynen
ago	1	G	paa	Papuan
ago	2	G	ngf	Trans-New Guinea
ago	3	I	ago	Tainae
agp	1	G	map	Austronesian
agp	2	G	poz	Malayo-Polynesian
agp	3	G	pqw	Western Malayo-Polynesian
agp	4	G	phi	Philippine
agp	5	I	agp	Paranan
agq	1	G	nic	Niger-Kordofanian
agq	2	G	alv	Atlantic-Congo
agq	3	G	bnt	Bantu
agq	4	I	agq	Aghem
agr	1	G	sai	South American Indian
agr	2	I	agr	Aguaruna
ags	1	G	nic	Niger-Kordofanian
ags	2	G	alv	Atlantic-Congo
ags	3	G	bnt	Bantu
ags	4	I	ags	Esimbi
agt	1	G	map	Austronesian
agt	2	G	poz	Malayo-Polynesian
agt	3	G	pqw	Western Malayo-Polynesian
agt	4	G	phi	Philippine
agt	5	I	agt	Central Cagayan Agta
agu	1	G	cai	Central American Indian
agu	2	G	myn	Mayan
agu	3	I	agu	Aguacateco
agv	1	G	map	Austronesian
agv	2	G	poz	Malayo-Polynesian
agv	3	G	pqw	Western Malayo-Polynesian
agv	4	G	phi	Philippine
agv	5	I	agv	Remontado Dumagat
agw	1	G	map	Austronesian
agw	2	G	poz	Malayo-Polynesian
agw	3	G	pqe	Eastern Malayo-Polynesian
agw	4	I	agw	Kahua
agx	1	G	cau	Caucasian
agx	2	I	agx	Aghul
agy	1	G	map	Austronesian
agy	2	G	poz	Malayo-Polynesian
agy	3	G	pqw	Western Malayo-Polynesian
agy	4	G	phi	Philippine
agy	5	I	agy	Southern Alta
agz	1	G	map	Austronesian
agz	2	G	poz	Malayo-Polynesian
agz	3	G	pqw	Western Malayo-Polynesian
agz	4	G	phi	Philippine
agz	5	I	agz	Mt. Iriga Agta
aha	1	G	nic	Niger-Kordofanian
aha	2	G	alv	Atlantic-Congo
aha	3	I	aha	Ahanta
ahb	1	G	map	Austronesian
ahb	2	G	poz	Malayo-Polynesian
ahb	3	G	pqe	Eastern Malayo-Polynesian
ahb	4	I	ahb	Axamb
ahe	1	G	map	Austronesian
ahe	2	I	ahe	Ahe
ahg	1	G	afa	Afro-Asiatic
ahg	2	G	cus	Cushitic
ahg	3	I	ahg	Qimant
ahh	1	G	paa	Papuan
ahh	2	G	ngf	Trans-New Guinea
ahh	3	I	ahh	Aghu
ahi	1	G	nic	Niger-Kordofanian
ahi	2	G	alv	Atlantic-Congo
ahi	3	G	kro	Kru
ahi	4	I	ahi	Tiagbamrin Aizi
ahk	1	G	sit	Sino-Tibetan
ahk	2	G	tbq	Tibeto-Burman
ahk	3	I	ahk	Akha
ahl	1	G	nic	Niger-Kordofanian
ahl	2	G	alv	Atlantic-Congo
ahl	3	I	ahl	Igo
ahm	1	G	nic	Niger-Kordofanian
ahm	2	G	alv	Atlantic-Congo
ahm	3	G	kro	Kru
ahm	4	I	ahm	Mobumrin Aizi
ahn	1	G	nic	Niger-Kordofanian
ahn	2	G	alv	Atlantic-Congo
ahn	3	I	ahn	Àhàn
aho	1	G	tai	Tai
aho	2	I	aho	Ahom
ahp	1	G	nic	Niger-Kordofanian
ahp	2	G	alv	Atlantic-Congo
ahp	3	G	kro	Kru
ahp	4	I	ahp	Aproumu Aizi
ahr	1	G	ine	Indo-European
ahr	2	G	iir	Indo-Iranian
ahr	3	G	inc	Indic
ahr	4	I	ahr	Ahirani
ahs	1	G	nic	Niger-Kordofanian
ahs	2	G	alv	Atlantic-Congo
ahs	3	I	ahs	Ashe
aht	1	G	nai	North American Indian
aht	2	G	xnd	Na-Dene
aht	3	G	ath	Athapascan
aht	4	I	aht	Ahtena
aia	1	G	map	Austronesian
aia	2	G	poz	Malayo-Polynesian
aia	3	G	pqe	Eastern Malayo-Polynesian
aia	4	I	aia	Arosi
aib	1	G	tut	Altaic
aib	2	I	aib	Ainu (China)
aic	1	G	paa	Papuan
aic	2	G	ngf	Trans-New Guinea
aic	3	I	aic	Ainbai
aid	1	G	aus	Australian
aid	2	I	aid	Alngith
aie	1	G	map	Austronesian
aie	2	G	poz	Malayo-Polynesian
aie	3	G	pqe	Eastern Malayo-Polynesian
aie	4	I	aie	Amara
aif	1	G	paa	Papuan
aif	2	I	aif	Agi
aig	1	G	crp	Creoles and pidgins
aig	2	G	cpe	Creoles and pidgins, Englishâ€‘based
aig	3	I	aig	Antigua and Barbuda Creole English
aih	1	G	tai	Tai
aih	2	I	aih	Ai-Cham
aii	1	G	afa	Afro-Asiatic
aii	2	G	sem	Semitic
aii	3	M	syr	Syriac
aii	4	I	aii	Assyrian Neo-Aramaic
aij	1	G	afa	Afro-Asiatic
aij	2	G	sem	Semitic
aij	3	I	aij	Lishanid Noshan
aik	1	G	nic	Niger-Kordofanian
aik	2	G	alv	Atlantic-Congo
aik	3	I	aik	Ake
ail	1	G	paa	Papuan
ail	2	G	ngf	Trans-New Guinea
ail	3	I	ail	Aimele
aim	1	G	sit	Sino-Tibetan
aim	2	G	tbq	Tibeto-Burman
aim	3	I	aim	Aimol
aio	1	G	tai	Tai
aio	2	I	aio	Aiton
aip	1	G	paa	Papuan
aip	2	G	ngf	Trans-New Guinea
aip	3	I	aip	Burumakok
aiq	1	G	ine	Indo-European
aiq	2	G	iir	Indo-Iranian
aiq	3	G	ira	Iranian
aiq	4	I	aiq	Aimaq
air	1	G	paa	Papuan
air	2	G	ngf	Trans-New Guinea
air	3	I	air	Airoran
ais	1	G	map	Austronesian
ais	2	I	ais	Nataoran Amis
ait	1	G	sai	South American Indian
ait	2	I	ait	Arikem
aiw	1	G	afa	Afro-Asiatic
aiw	2	I	aiw	Aari
aix	1	G	map	Austronesian
aix	2	G	poz	Malayo-Polynesian
aix	3	G	pqe	Eastern Malayo-Polynesian
aix	4	I	aix	Aighon
aiy	1	G	nic	Niger-Kordofanian
aiy	2	G	alv	Atlantic-Congo
aiy	3	I	aiy	Ali
aiz	1	G	afa	Afro-Asiatic
aiz	2	I	aiz	Aari
aja	1	G	ssa	Nilo-Saharan
aja	2	I	aja	Aja (Sudan)
ajg	1	G	nic	Niger-Kordofanian
ajg	2	G	alv	Atlantic-Congo
ajg	3	I	ajg	Aja (Benin)
aji	1	G	map	Austronesian
aji	2	G	poz	Malayo-Polynesian
aji	3	G	pqe	Eastern Malayo-Polynesian
aji	4	I	aji	Ajië
ajp	1	G	afa	Afro-Asiatic
ajp	2	G	sem	Semitic
ajp	3	M	ara	Arabic
ajp	4	I	ajp	South Levantine Arabic
ajt	1	G	afa	Afro-Asiatic
ajt	2	G	sem	Semitic
ajt	3	M	jrb	Judeo-Arabic
ajt	4	I	ajt	Judeo-Tunisian Arabic
aju	1	G	afa	Afro-Asiatic
aju	2	G	sem	Semitic
aju	3	M	jrb	Judeo-Arabic
aju	4	I	aju	Judeo-Moroccan Arabic
ajw	1	G	afa	Afro-Asiatic
ajw	2	I	ajw	Ajawa
ajz	1	G	sit	Sino-Tibetan
ajz	2	G	tbq	Tibeto-Burman
ajz	3	I	ajz	Amri Karbi
akb	1	G	map	Austronesian
akb	2	G	poz	Malayo-Polynesian
akb	3	G	pqw	Western Malayo-Polynesian
akb	4	G	btk	Batak
akb	5	I	akb	Batak Angkola
akc	1	G	paa	Papuan
akc	2	I	akc	Mpur
akd	1	G	nic	Niger-Kordofanian
akd	2	G	alv	Atlantic-Congo
akd	3	I	akd	Ukpet-Ehom
ake	1	G	sai	South American Indian
ake	2	I	ake	Akawaio
akf	1	G	nic	Niger-Kordofanian
akf	2	G	alv	Atlantic-Congo
akf	3	I	akf	Akpa
akg	1	G	map	Austronesian
akg	2	G	poz	Malayo-Polynesian
akg	3	G	plf	Central Malayo-Polynesian
akg	4	I	akg	Anakalangu
akh	1	G	paa	Papuan
akh	2	G	ngf	Trans-New Guinea
akh	3	I	akh	Angal Heneng
aki	1	G	paa	Papuan
aki	2	I	aki	Aiome
akl	1	G	map	Austronesian
akl	2	G	poz	Malayo-Polynesian
akl	3	G	pqw	Western Malayo-Polynesian
akl	4	G	phi	Philippine
akl	5	I	akl	Aklanon
ako	1	G	sai	South American Indian
ako	2	I	ako	Akurio
akp	1	G	nic	Niger-Kordofanian
akp	2	G	alv	Atlantic-Congo
akp	3	I	akp	Siwu
akq	1	G	paa	Papuan
akq	2	I	akq	Ak
akr	1	G	map	Austronesian
akr	2	G	poz	Malayo-Polynesian
akr	3	G	pqe	Eastern Malayo-Polynesian
akr	4	I	akr	Araki
aks	1	G	nic	Niger-Kordofanian
aks	2	G	alv	Atlantic-Congo
aks	3	I	aks	Akaselem
akt	1	G	map	Austronesian
akt	2	G	poz	Malayo-Polynesian
akt	3	G	pqe	Eastern Malayo-Polynesian
akt	4	I	akt	Akolet
aku	1	G	nic	Niger-Kordofanian
aku	2	G	alv	Atlantic-Congo
aku	3	I	aku	Akum
akv	1	G	cau	Caucasian
akv	2	I	akv	Akhvakh
akw	1	G	nic	Niger-Kordofanian
akw	2	G	alv	Atlantic-Congo
akw	3	G	bnt	Bantu
akw	4	I	akw	Akwa
akz	1	G	nai	North American Indian
akz	2	I	akz	Alabama
ala	1	G	nic	Niger-Kordofanian
ala	2	G	alv	Atlantic-Congo
ala	3	I	ala	Alago
alc	1	G	sai	South American Indian
alc	2	I	alc	Qawasqar
ald	1	G	nic	Niger-Kordofanian
ald	2	G	alv	Atlantic-Congo
ald	3	I	ald	Alladian
ale	1	G	esx	Eskimo-Aleut
ale	2	I	ale	Aleut
alf	1	G	nic	Niger-Kordofanian
alf	2	G	alv	Atlantic-Congo
alf	3	I	alf	Alege
alh	1	G	aus	Australian
alh	2	I	alh	Alawa
ali	1	G	paa	Papuan
ali	2	G	ngf	Trans-New Guinea
ali	3	I	ali	Amaimon
alj	1	G	map	Austronesian
alj	2	G	poz	Malayo-Polynesian
alj	3	G	pqw	Western Malayo-Polynesian
alj	4	G	phi	Philippine
alj	5	I	alj	Alangan
alk	1	G	aav	Austro-Asiatic
alk	2	G	mkh	Mon-Khmer
alk	3	I	alk	Alak
all	1	G	dra	Dravidian
all	2	I	all	Allar
alm	1	G	map	Austronesian
alm	2	G	poz	Malayo-Polynesian
alm	3	G	pqe	Eastern Malayo-Polynesian
alm	4	I	alm	Amblong
aln	1	G	ine	Indo-European
aln	2	G	sqj	Albanian
aln	3	M	sqi	Albanian
aln	4	I	aln	Gheg Albanian
alo	1	G	map	Austronesian
alo	2	G	poz	Malayo-Polynesian
alo	3	G	plf	Central Malayo-Polynesian
alo	4	I	alo	Larike-Wakasihu
alp	1	G	map	Austronesian
alp	2	G	poz	Malayo-Polynesian
alp	3	G	plf	Central Malayo-Polynesian
alp	4	I	alp	Alune
alq	1	G	nai	North American Indian
alq	2	G	aql	Algic
alq	3	G	alg	Algonquian
alq	4	I	alq	Algonquin
als	1	G	ine	Indo-European
als	2	G	sqj	Albanian
als	3	M	sqi	Albanian
als	4	I	als	Tosk Albanian
alt	1	G	tut	Altaic
alt	2	I	alt	Southern Altai
alu	1	G	map	Austronesian
alu	2	G	poz	Malayo-Polynesian
alu	3	G	pqe	Eastern Malayo-Polynesian
alu	4	I	alu	'Are'are
alw	1	G	afa	Afro-Asiatic
alw	2	G	cus	Cushitic
alw	3	I	alw	Alaba-K’abeena
alx	1	G	paa	Papuan
alx	2	I	alx	Amol
aly	1	G	aus	Australian
aly	2	I	aly	Alyawarr
alz	1	G	ssa	Nilo-Saharan
alz	2	I	alz	Alur
ama	1	G	sai	South American Indian
ama	2	I	ama	Amanayé
amb	1	G	nic	Niger-Kordofanian
amb	2	G	alv	Atlantic-Congo
amb	3	G	bnt	Bantu
amb	4	I	amb	Ambo
amc	1	G	sai	South American Indian
amc	2	I	amc	Amahuaca
ame	1	G	sai	South American Indian
ame	2	I	ame	Yanesha'
amf	1	G	afa	Afro-Asiatic
amf	2	I	amf	Hamer-Banna
amg	1	G	aus	Australian
amg	2	I	amg	Amarag
amh	1	G	afa	Afro-Asiatic
amh	2	G	sem	Semitic
amh	3	I	amh	Amharic
ami	1	G	map	Austronesian
ami	2	I	ami	Amis
amj	1	G	ssa	Nilo-Saharan
amj	2	I	amj	Amdang
amk	1	G	map	Austronesian
amk	2	G	poz	Malayo-Polynesian
amk	3	G	pqe	Eastern Malayo-Polynesian
amk	4	I	amk	Ambai
aml	1	G	aav	Austro-Asiatic
aml	2	G	mkh	Mon-Khmer
aml	3	I	aml	War-Jaintia
amm	1	G	paa	Papuan
amm	2	I	amm	Ama (Papua New Guinea)
amn	1	G	paa	Papuan
amn	2	G	ngf	Trans-New Guinea
amn	3	I	amn	Amanab
amo	1	G	nic	Niger-Kordofanian
amo	2	G	alv	Atlantic-Congo
amo	3	I	amo	Amo
amp	1	G	paa	Papuan
amp	2	I	amp	Alamblak
amq	1	G	map	Austronesian
amq	2	G	poz	Malayo-Polynesian
amq	3	G	plf	Central Malayo-Polynesian
amq	4	I	amq	Amahai
amr	1	G	sai	South American Indian
amr	2	I	amr	Amarakaeri
ams	1	G	jpx	Japanese (family)
ams	2	I	ams	Southern Amami-Oshima
amt	1	G	paa	Papuan
amt	2	I	amt	Amto
amu	1	G	cai	Central American Indian
amu	2	I	amu	Guerrero Amuzgo
amv	1	G	map	Austronesian
amv	2	G	poz	Malayo-Polynesian
amv	3	G	plf	Central Malayo-Polynesian
amv	4	I	amv	Ambelau
amw	1	G	afa	Afro-Asiatic
amw	2	G	sem	Semitic
amw	3	I	amw	Western Neo-Aramaic
amx	1	G	aus	Australian
amx	2	I	amx	Anmatyerre
