Language	Level	Type	Code	Name
mlb	2	G	alv	Atlantic-Congo
mlb	3	G	bnt	Bantu
mlb	4	I	mlb	Mbule
mlc	1	G	tai	Tai
mlc	2	I	mlc	Cao Lan
mle	1	G	paa	Papuan
mle	2	I	mle	Manambu
mlf	1	G	aav	Austro-Asiatic
mlf	2	G	mkh	Mon-Khmer
mlf	3	I	mlf	Mal
mlh	1	G	paa	Papuan
mlh	2	G	ngf	Trans-New Guinea
mlh	3	I	mlh	Mape
mli	1	G	map	Austronesian
mli	2	I	mli	Malimpung
mlj	1	G	afa	Afro-Asiatic
mlj	2	I	mlj	Miltu
mlk	1	G	nic	Niger-Kordofanian
mlk	2	G	alv	Atlantic-Congo
mlk	3	G	bnt	Bantu
mlk	4	I	mlk	Ilwana
mll	1	G	map	Austronesian
mll	2	G	poz	Malayo-Polynesian
mll	3	G	pqe	Eastern Malayo-Polynesian
mll	4	I	mll	Malua Bay
mlm	1	G	tai	Tai
mlm	2	I	mlm	Mulam
mln	1	G	map	Austronesian
mln	2	G	poz	Malayo-Polynesian
mln	3	G	pqe	Eastern Malayo-Polynesian
mln	4	I	mln	Malango
mlo	1	G	nic	Niger-Kordofanian
mlo	2	G	alv	Atlantic-Congo
mlo	3	I	mlo	Mlomp
mlp	1	G	paa	Papuan
mlp	2	G	ngf	Trans-New Guinea
mlp	3	I	mlp	Bargam
mlq	1	M	man	Mandingo
mlq	2	I	mlq	Western Maninkakan
mlr	1	G	afa	Afro-Asiatic
mlr	2	I	mlr	Vame
mls	1	G	ssa	Nilo-Saharan
mls	2	I	mls	Masalit
mlu	1	G	map	Austronesian
mlu	2	G	poz	Malayo-Polynesian
mlu	3	G	pqe	Eastern Malayo-Polynesian
mlu	4	I	mlu	To'abaita
mlv	1	G	map	Austronesian
mlv	2	G	poz	Malayo-Polynesian
mlv	3	G	pqe	Eastern Malayo-Polynesian
mlv	4	I	mlv	Motlav
mlw	1	G	afa	Afro-Asiatic
mlw	2	I	mlw	Moloko
mlx	1	G	map	Austronesian
mlx	2	G	poz	Malayo-Polynesian
mlx	3	G	pqe	Eastern Malayo-Polynesian
mlx	4	I	mlx	Malfaxal
mly	1	G	map	Austronesian
mly	2	G	poz	Malayo-Polynesian
mly	3	G	plf	Central Malayo-Polynesian
mly	4	M	msa	Malay (macrolanguage)
mly	5	I	mly	Malay (individual language)
mlz	1	G	map	Austronesian
mlz	2	G	poz	Malayo-Polynesian
mlz	3	G	pqw	Western Malayo-Polynesian
mlz	4	G	phi	Philippine
mlz	5	I	mlz	Malaynon
mma	1	G	nic	Niger-Kordofanian
mma	2	G	alv	Atlantic-Congo
mma	3	G	bnt	Bantu
mma	4	I	mma	Mama
mmb	1	G	paa	Papuan
mmb	2	G	ngf	Trans-New Guinea
mmb	3	I	mmb	Momina
mmc	1	G	cai	Central American Indian
mmc	2	G	omq	Oto-Manguean
mmc	3	G	oto	Otomian
mmc	4	I	mmc	Michoacán Mazahua
mmd	1	G	tai	Tai
mmd	2	I	mmd	Maonan
mme	1	G	map	Austronesian
mme	2	G	poz	Malayo-Polynesian
mme	3	G	pqe	Eastern Malayo-Polynesian
mme	4	I	mme	Mae
mmf	1	G	afa	Afro-Asiatic
mmf	2	I	mmf	Mundat
mmg	1	G	map	Austronesian
mmg	2	G	poz	Malayo-Polynesian
mmg	3	G	pqe	Eastern Malayo-Polynesian
mmg	4	I	mmg	North Ambrym
mmh	1	G	sai	South American Indian
mmh	2	I	mmh	Mehináku
mmi	1	G	paa	Papuan
mmi	2	G	ngf	Trans-New Guinea
mmi	3	I	mmi	Musar
mml	1	G	aav	Austro-Asiatic
mml	2	G	mkh	Mon-Khmer
mml	3	I	mml	Man Met
mmm	1	G	map	Austronesian
mmm	2	G	poz	Malayo-Polynesian
mmm	3	G	pqe	Eastern Malayo-Polynesian
mmm	4	I	mmm	Maii
mmn	1	G	map	Austronesian
mmn	2	G	poz	Malayo-Polynesian
mmn	3	G	pqw	Western Malayo-Polynesian
mmn	4	G	phi	Philippine
mmn	5	I	mmn	Mamanwa
mmo	1	G	map	Austronesian
mmo	2	G	poz	Malayo-Polynesian
mmo	3	G	pqe	Eastern Malayo-Polynesian
mmo	4	I	mmo	Mangga Buang
mmp	1	G	paa	Papuan
mmp	2	I	mmp	Siawi
mmq	1	G	paa	Papuan
mmq	2	G	ngf	Trans-New Guinea
mmq	3	I	mmq	Musak
mmr	1	G	hmx	Hmong-Mien
mmr	2	M	hmn	Hmong
mmr	3	I	mmr	Western Xiangxi Miao
mms	1	G	cai	Central American Indian
mms	2	G	myn	Mayan
mms	3	I	mms	Southern Mam
mmt	1	G	map	Austronesian
mmt	2	G	poz	Malayo-Polynesian
mmt	3	G	pqe	Eastern Malayo-Polynesian
mmt	4	I	mmt	Malalamai
mmu	1	G	nic	Niger-Kordofanian
mmu	2	G	alv	Atlantic-Congo
mmu	3	G	bnt	Bantu
mmu	4	I	mmu	Mmaala
mmv	1	G	sai	South American Indian
mmv	2	I	mmv	Miriti
mmw	1	G	map	Austronesian
mmw	2	G	poz	Malayo-Polynesian
mmw	3	G	pqe	Eastern Malayo-Polynesian
mmw	4	I	mmw	Emae
mmx	1	G	map	Austronesian
mmx	2	G	poz	Malayo-Polynesian
mmx	3	G	pqe	Eastern Malayo-Polynesian
mmx	4	I	mmx	Madak
mmy	1	G	afa	Afro-Asiatic
mmy	2	I	mmy	Migaama
mmz	1	G	nic	Niger-Kordofanian
mmz	2	G	alv	Atlantic-Congo
mmz	3	G	bnt	Bantu
mmz	4	I	mmz	Mabaale
mna	1	G	map	Austronesian
mna	2	G	poz	Malayo-Polynesian
mna	3	G	pqe	Eastern Malayo-Polynesian
mna	4	I	mna	Mbula
mnb	1	G	map	Austronesian
mnb	2	I	mnb	Muna
mnd	1	G	sai	South American Indian
mnd	2	I	mnd	Mondé
mne	1	G	ssa	Nilo-Saharan
mne	2	I	mne	Naba
mnf	1	G	nic	Niger-Kordofanian
mnf	2	G	alv	Atlantic-Congo
mnf	3	G	bnt	Bantu
mnf	4	I	mnf	Mundani
mng	1	G	aav	Austro-Asiatic
mng	2	G	mkh	Mon-Khmer
mng	3	I	mng	Eastern Mnong
mnh	1	G	nic	Niger-Kordofanian
mnh	2	G	alv	Atlantic-Congo
mnh	3	G	bad	Banda
mnh	4	I	mnh	Mono (Democratic Republic of Congo)
mnj	1	G	ine	Indo-European
mnj	2	G	iir	Indo-Iranian
mnj	3	G	ira	Iranian
mnj	4	I	mnj	Munji
mnk	1	M	man	Mandingo
mnk	2	I	mnk	Mandinka
mnl	1	G	map	Austronesian
mnl	2	G	poz	Malayo-Polynesian
mnl	3	G	pqe	Eastern Malayo-Polynesian
mnl	4	I	mnl	Tiale
mnm	1	G	paa	Papuan
mnm	2	G	ngf	Trans-New Guinea
